time,vdd,vres
-4.70760e-02,0.110937,0.0105531
-4.70720e-02,0.10875,0.0108687
-4.70680e-02,0.11125,0.0106469
-4.70640e-02,0.119375,0.0107563
-4.70600e-02,0.110625,0.0103281
-4.70560e-02,0.113125,0.0102719
-4.70520e-02,0.12,0.0108125
-4.70480e-02,0.111563,0.0107406
-4.70440e-02,0.111563,0.0105063
-4.70400e-02,0.114375,0.0102937
-4.70360e-02,0.111875,0.0105563
-4.70320e-02,0.108437,0.0105312
-4.70280e-02,0.108437,0.0106125
-4.70240e-02,0.109375,0.0102125
-4.70200e-02,0.110937,0.010575
-4.70160e-02,0.115312,0.0104875
-4.70120e-02,0.10875,0.0103
-4.70080e-02,0.11125,0.00972187
-4.70040e-02,0.12,0.00978437
-4.70000e-02,0.10875,0.00995
-4.69960e-02,0.112812,0.0105719
-4.69920e-02,0.114688,0.0105875
-4.69880e-02,0.117812,0.0104375
-4.69840e-02,0.108125,0.0103281
-4.69800e-02,0.109688,0.00994063
-4.69760e-02,0.1075,0.0102094
-4.69720e-02,0.111875,0.0106438
-4.69680e-02,0.110625,0.0105563
-4.69640e-02,0.108437,0.0105375
-4.69600e-02,0.111875,0.0102875
-4.69560e-02,0.105313,0.0101938
-4.69520e-02,0.113125,0.0107125
-4.69480e-02,0.10625,0.0108437
-4.69440e-02,0.11375,0.0108906
-4.69400e-02,0.11,0.0102312
-4.69360e-02,0.119375,0.0104438
-4.69320e-02,0.115312,0.0105656
-4.69280e-02,0.112188,0.0104438
-4.69240e-02,0.110937,0.01065
-4.69200e-02,0.110937,0.010525
-4.69160e-02,0.109375,0.0104281
-4.69120e-02,0.11875,0.0105719
-4.69080e-02,0.11,0.0105031
-4.69040e-02,0.111875,0.010325
-4.69000e-02,0.120938,0.0102406
-4.68960e-02,0.112188,0.0105813
-4.68920e-02,0.114688,0.0106219
-4.68880e-02,0.109688,0.0100031
-4.68840e-02,0.110313,0.00985312
-4.68800e-02,0.110937,0.00988125
-4.68760e-02,0.109375,0.01035
-4.68720e-02,0.111563,0.0106031
-4.68680e-02,0.114375,0.0103781
-4.68640e-02,0.1175,0.0100937
-4.68600e-02,0.117188,0.00979687
-4.68560e-02,0.107188,0.0100375
-4.68520e-02,0.114063,0.0106562
-4.68480e-02,0.11125,0.0106406
-4.68440e-02,0.114063,0.0105688
-4.68400e-02,0.110625,0.0103656
-4.68360e-02,0.1125,0.0101313
-4.68320e-02,0.109375,0.010625
-4.68280e-02,0.111875,0.0105937
-4.68240e-02,0.115625,0.0109438
-4.68200e-02,0.117812,0.0107125
-4.68160e-02,0.112812,0.0104062
-4.68120e-02,0.114063,0.0104531
-4.68080e-02,0.106875,0.0105719
-4.68040e-02,0.1125,0.0107094
-4.68000e-02,0.111563,0.0103437
-4.67960e-02,0.117188,0.0106
-4.67920e-02,0.115938,0.0106375
-4.67880e-02,0.109688,0.0105406
-4.67840e-02,0.108437,0.010625
-4.67800e-02,0.111875,0.0104812
-4.67760e-02,0.106875,0.0103188
-4.67720e-02,0.106562,0.0105844
-4.67680e-02,0.112812,0.0102094
-4.67640e-02,0.112188,0.00966875
-4.67600e-02,0.118125,0.00973125
-4.67560e-02,0.108437,0.01005
-4.67520e-02,0.112812,0.0104969
-4.67480e-02,0.110313,0.0102969
-4.67440e-02,0.115312,0.0100187
-4.67400e-02,0.115312,0.0098375
-4.67360e-02,0.113125,0.01
-4.67320e-02,0.1175,0.0105875
-4.67280e-02,0.119687,0.0104563
-4.67240e-02,0.11,0.0105625
-4.67200e-02,0.114063,0.0103844
-4.67160e-02,0.112812,0.0102594
-4.67120e-02,0.115312,0.0102531
